--- Table: moyemati ---
idenelev	codemati	codetypemati	codeperiexam	codenive	moyemati	rangmati	codeetab
00140024	0107	10	31	312413	       	1	119850
00140024	0113	10	31	312413	       	1	119850
00140024	0101	10	31	312413	15.1111	1	119850
00140024	0201	10	31	312413	12.3750	2	119850
00140024	0301	10	31	312413	09.2500	8	119850
00140024	0401	10	31	312413	14.0000	1	119850
00140024	0501	10	31	312413	09.6666	1	119850
00140024	0502	10	31	312413	09.3333	6	119850
00130085	0113	10	31	312414	07.0000	15	119850
00130085	0201	10	31	312414	06.7500	23	119850
00130085	0301	10	31	312414	07.5000	10	119850
00130085	0401	10	31	312414	06.0000	14	119850
00130085	0503	10	31	312414	07.5714	8	119850
00130085	0801	10	31	312414	07.0000	16	119850
00130085	1201	10	31	312414	05.0000	17	119850
00130085	1301	10	31	312414	معفى   	مع	119850
00130085	1601	20	31	312414	11.0000	17	119850
00130085	2001	10	31	312414	15.0000	6	119850
00130085	2101	10	31	312414	15.0000	14	119850
00130087	0113	10	31	312414	06.0000	22	119850

--- Table: epreuve ---
codenive	codemati	codetypemati	codeperiexam	codetypeepre	numeepre	nbreepre	coefepre
312102	0201	10	32	11	1	1	1
312102	0201	10	32	30	1	1	1
312102	0201	10	32	40	1	1	2
312102	0301	10	32	15	1	1	1
312102	0301	10	32	30	1	1	1
312102	0301	10	32	40	1	1	2
312102	0501	10	32	11	1	1	1
312102	0501	10	32	20	1	1	1
312102	0501	10	32	40	1	1	2
312102	0502	10	32	11	1	1	1
312102	0502	10	32	20	1	1	1
312102	0502	10	32	40	1	1	2
312102	0602	10	32	11	1	1	1
312102	0602	10	32	30	1	1	1
312102	0602	10	32	40	1	1	2
312102	0701	10	32	30	1	1	1
312102	0701	10	32	40	1	1	2
312102	0801	10	32	30	1	1	1
312102	0801	10	32	40	1	1	2
312102	1002	10	32	12	1	1	1

--- Table: moyematiante ---
idenelev	codemati	codetypemati	codeperiexam	annescol	codenive	moyemati	rangmati
00130008	0101	10	31	2015	312413	08.2222	29
00130008	0101	10	32	2015	312413	معفى   	مع
00130008	0101	10	33	2015	312413	10.9333	15
00130008	0101	10	99	2015	312413	10.0296	21
00130008	0107	10	31	2015	312413	       	1
00130008	0107	10	32	2015	312413	       	1
00130008	0107	10	33	2015	312413	       	1
00130008	0107	10	99	2015	312413	       	1
00130008	0113	10	31	2015	312413	       	1
00130008	0113	10	32	2015	312413	       	1
00130008	0113	10	33	2015	312413	       	1
00130008	0113	10	99	2015	312413	       	1
00130008	0201	10	31	2015	312413	05.7500	22
00130008	0201	10	32	2015	312413	معفى   	مع
00130008	0201	10	33	2015	312413	08.1666	30
00130008	0201	10	99	2015	312413	07.3610	30
00130008	0301	10	31	2015	312413	08.5000	23
00130008	0301	10	32	2015	312413	معفى   	مع
00130008	0301	10	33	2015	312413	11.5000	11
00130008	0301	10	99	2015	312413	10.5000	16

