--- DB Dump Start ---
--- Table: matiere ---
codemati	libematiar	libematifr	codedisc	codematisy	codematbac	codenatumati
0101	عربية	Arabe	01	عرب001		2
0102	إنشاء	Rédaction arabe	01	إعر001		2
0103	لغــة عربية	Langue arabe	01	لعر002		3
0104	تعريب	Traduction	01	ترج003		2
0105	بلاغة عربية	Réthorie	01	بلا002		2
0106	 عربيـة:نشاط شفوي	Arabe (Activité Orale)	01	معر003		2
0107	شفوي	Oral	01			2
0108	مقال		01			2
0109	مقال/تحليل نص		01			2
0110	مقال/دراسة نص/إنتاج		01			2
0111	لغة و بلاغة		01			2
0112	لغة و تعريب		01			2
0201	فرنسية	Français	02	فرن001		2
0202	تعبيركتابي	Expression écrite	02			2
0203	لغة فرنسية	Réthorie	02			3
0301	أنقليزية	Anglais	03	انق001		3
0401	فلسفة	Philosophie	04	فلس001		2
0402	مدخل إلى الفلسفة	Initiation philosophique	04	مدخ001		2
0501	تاريخ	Histoire	05	تار001	07	2
0502	جغرافيا	Geographie	05	جغر001	06	2
0503	تاريخ و جغرافيا	Histoire et Géograph	05	توج001		2
0601	تربية إسلامية	Education Islamique	06	تإس001		2
0602	تفكير إسلامي	Pensées Islamique	06	تفك001	10	2
0701	تربية مدنية	Education Civique	07	توط001		2
0801	رياضيات	Mathématiques	08	ريا001	12	1
0901	علوم فيزيائية	Sciences physiques	09	عفى001	15	1
1001	علوم بيولوجية	Sciences biologique	10	عطب001		1
1002	علوم الحياة و الأرض	SVT	10		13	1
1101	تربية تكنولوجية	Education Technologique	11	تتق001		1
1102	تكنولوجيا	Technologie	11			5
1201	إقتصاد	Economie	12	اقت001		1
1301	تصرف	Gestion	13	تصر001		1
1401	 كهرباء	Electricité	14			1
1415	مواد تقنية	Matieres Techniques	14	تقن001		1
1501	آلية	Mécanique	15			1
1601	تربية تشكيلية	Education Artistique	16	تتش001	16	4
1701	ألمانية	Allemand	17	ألم001	20	3
1801	إيطالية	Italien	18	إيط001	19	3
1901	إسبانية	Espagnol	19	إسب001	21	3
2001	إعلامية	Informatique	20	إعل001	11	5
2101	تربية بدنية	Education physique	21	تبد001		1
2201	تربية موسيقية	Education musicale	22	تمو001	17	4
2301	تربية مسرحية	Théâtre	23		18	4
2401	لغة حية ثالثة	Troisième langue vivante	24	لحي001		3
2501	روسيّة	Russe	25		22	3
2601	صينيّة	Chinois	26		23	3
3501	تعلّمات اختياريّة	Education Optionnel		تعإ001		4
0113	دراسة نص	Etude de texte	01			2
3502	إنجاز مشروع	Conduite de Projet	35		14	4
2002	خوارزميات و برمجة	Algorithmique et programmation	20			5
2003	تك. المعلومات و الاتصال	TIC	20			5
2004	أنظمة و شبكات	Systemes et reseaux	20			5
2005	قواعد البيانات	Bases de données	20			5
2701	تركيّة	Turque	27		25	3

--- Table: matisect ---
codenive	codesect	codemati	codetypemati	coefmati
311011	31210	0101	11	3
311011	31210	0201	11	2,5
311011	31210	0301	11	1,5
311011	31210	0501	11	1,5
311011	31210	0502	11	1,5
311011	31220	0801	11	3
311011	31220	0901	11	2,5
311011	31220	1002	11	1,5
311011	31220	1102	11	1
311011	31230	0801	11	3
311011	31230	0901	11	2,5
311011	31230	1102	11	1
311011	31230	0201	11	2,5
311011	31240	0201	11	2,5
311011	31240	0301	11	1,5
311011	31240	0501	11	1,5
311011	31240	0502	11	1,5
311011	31240	0801	11	3
312102	31211	2101	11	0
312202	31221	0201	11	2
312202	31221	0801	11	4
312202	31221	0901	11	4
312202	31221	1002	11	2
312202	31222	0201	11	2
312202	31222	0801	11	4
312202	31222	0901	11	4
312202	31222	1002	11	2
312202	31223	0201	11	2
312202	31223	0801	11	4
312202	31223	0901	11	4
312202	31223	1102	11	2
312202	31231	0201	11	2
312202	31231	0801	11	4
312202	31231	0901	11	4
312202	31231	2001	11	0
312202	31211	0101	11	3
312202	31211	0201	11	2
312202	31211	0301	11	2
312202	31211	0501	11	1
312202	31211	0502	11	1
312402	31241	2101	11	0
312402	31211	0101	11	3
312402	31211	0201	11	2
312402	31211	0301	11	2
312402	31211	0501	11	1,5
312402	31211	0502	11	1,5
312302	31231	2101	11	0
312302	31223	1102	11	2
312302	31223	0801	11	2,5
312302	31223	0901	11	2,5
312302	31223	0201	11	2
312302	31221	0801	11	2,5
312302	31221	0901	11	2,5
312302	31221	0201	11	2
312102	31220	0801	11	1
312102	31220	0901	11	0
312102	31220	1002	11	1
312102	31220	1102	11	0
312102	31230	0801	11	1
312102	31230	0901	11	0
312102	31230	1102	11	0
312102	31230	0201	11	4
312102	31240	0201	11	4
312102	31240	0301	11	3
312102	31240	0501	11	1,5
312102	31240	0502	11	1,5
312102	31240	0801	11	1
312202	31210	0101	11	2
312202	31210	0201	11	2
312202	31210	0301	11	2
312202	31210	0501	11	1
312202	31210	0502	11	1
312202	31230	0801	11	4
312202	31230	0901	11	4
312202	31230	1102	11	2
312202	31230	0201	11	2
312202	31240	0201	11	2
312202	31240	0301	11	2
312202	31240	0501	11	1
312102	31241	0801	11	2,5
312102	31241	0501	11	1
312102	31241	0502	11	1
312102	31241	0201	11	2
312102	31241	0301	11	2
312302	31221	0301	11	2
312202	31240	0502	11	1
312202	31240	0801	11	4
312302	31210	0101	11	2
312302	31210	0201	11	2
312302	31210	0301	11	2
312302	31210	0501	11	1
312302	31210	0502	11	1
312302	31220	0801	11	2,5
312302	31220	0901	11	2,5
312302	31220	1002	11	0
312302	31220	1102	11	2
312302	31240	0201	11	2
312302	31240	0301	11	2
312302	31240	0501	11	1
312302	31240	0502	11	1

--- Table: nivescol ---
codenive	codesect	libenivear	niveetud	nbrechoioptiobli	nbrechoioptiopti	niveorie	finetud
100016	10001	سادسة تعليم أساسي	6	0	0	0	1
210017	21001	سابعة تعليم أساسي	7	0	0	0	0
210018	21001	ثامنة تعليم أساسي	8	1	1	0	0
210019	21001	تاسعة تعليم أساسي	9	1	1	0	1
311011	31101	أولى ثانوي	1	0	0	1	0
311012	31101	ثانية ثانوي ن قديم	2	0	2	1	0
312102	31210	ثانية آداب	2	0	0	1	0
312113	31211	ثالثة آداب	3	1	0	0	0
312114	31211	رابعة آداب	4	1	0	0	1
312202	31220	ثانية علوم	2	0	0	1	0
312213	31221	ثالثة رياضيات	3	1	0	0	0
312214	31221	رابعة رياضيات	4	1	0	0	1
312223	31222	ثالثة علوم تجريبية	3	1	0	0	0
312224	31222	رابعة علوم تجريبية	4	1	0	0	1
312233	31223	ثالثة علوم تقنية	3	1	0	0	0
312234	31223	رابعة علوم تقنية	4	1	0	0	1
312302	31230	ثانية تكنولوجيا الإعلامية	2	0	0	1	0
312313	31231	ثالثة علوم إعلامية	3	1	0	0	0
312314	31231	رابعة علوم إعلامية	4	1	0	0	1
312402	31240	ثانية إقتصاد و خدمات	2	0	0	1	0
312413	31241	ثالثة إقتصاد و تصرف	3	1	0	0	0
312414	31241	رابعة إقتصاد و تصرف	4	1	0	0	1
312811	31281	أولى رياضة	1	0	0	0	0
312812	31281	ثانية رياضة	2	0	0	0	0
312813	31281	ثالثة رياضة	3	0	0	0	0
312814	31281	رابعة رياضة	4	0	0	0	1
312911	31291	أولى فنون	1	0	0	0	0
312912	31291	ثانية فنون	2	0	0	0	0
312913	31291	ثالثة فنون	3	0	0	0	0
312914	31291	رابعة فنون	4	0	0	0	1

--- Table: sectense ---
codesect	codecycl	libesectar	libesectfr	codesectsy	codesectbacc	capasect	numesect	codefili
00001	000	قسم تحضيري	Préparatoire		  	0	1	0
00002	000	روضة أطفال	jardin d'enfant		  	0	1	0
00003	000	كتاتيب	Ecole coranique		  	0	1	0
10001	100	مرحلة أولىتعليــم أســاسى 	1er cycle de l'enseign.de base 		  	0	1	0
21001	210	مرحلة ثانية تعليــم أســاسى 	2ème cycle de l'enseign. de base	أس	  	0	1	0
31101	311	ثـانـوي جــذع مشتـــرك 	Secondaire tronc commun 	ثا	  	0	1	0
31201	312	آداب	Lettres	آد	  	76	1	0
31202	312	رياضيات	Mathématique	ري	  	73	2	0
31203	312	علوم تجريبية	Sciences expérimentales	عل	  	73	3	0
31204	312	إقتصاد وتصرف	Economie et gestion	إق	  	59	4	0
31205	312	تقــنـية	Technique	تق	  	49	5	0
31210	312	م الآداب	Lettres	آد	  	0	0	1
31211	312	الآداب	Lettres	آد	1 	0	1	1
31220	312	م العلوم	Sciences	عل	  	0	0	2
31221	312	الرياضيات	Maths	ري	2 	0	1	2
31222	312	العلوم التجريبية	Sciences experimentales	عت	3 	0	2	2
31223	312	العلوم التقنية	Sciences techniques	تق	5 	0	3	2
31230	312	م تكنولوجيا الإعلامية	Technologie de l informatique	تك	  	0	0	3
31231	312	علوم الإعلامية	Sciences Informatique 	إع	6 	0	1	3
31240	312	م الإقتصاد و الخدمات	Economie et services	قخ	  	0	0	4
31241	312	الإقتصاد و التصرف	Economie et Gestion	قت	4 	0	1	4
31281	312	رياضة	Sport	رض	7 	0	1	8
31291	312	فنون	Arts	فن	  	0	1	9

