Level	TypeID	TypeName	Count	Coef
ثالثة آداب	11	شفاهي	1	0.5
ثالثة آداب	15	معدل الشفوي	1	0.5
ثالثة آداب	15	معدل الشفوي	1	0.5
ثالثة آداب	30	أحسن عدد فروض المراقبة	1	1
ثالثة آداب	30	أحسن عدد فروض المراقبة	1	1
ثالثة آداب	30	أحسن عدد فروض المراقبة	1	1
ثالثة آداب	31	أعلى عدد ف م 	1	2
ثالثة آداب	40	فرض تأليفي	1	2
ثالثة آداب	40	فرض تأليفي	1	2
ثالثة آداب	40	فرض تأليفي	1	2
ثالثة إقتصاد و تصرف	30	أحسن عدد فروض المراقبة	1	1
ثالثة إقتصاد و تصرف	30	أحسن عدد فروض المراقبة	1	1
ثالثة إقتصاد و تصرف	31	أعلى عدد ف م 	1	2
ثالثة إقتصاد و تصرف	40	فرض تأليفي	1	2
ثالثة إقتصاد و تصرف	40	فرض تأليفي	1	2
ثالثة إقتصاد و تصرف	40	فرض تأليفي	1	2
ثالثة رياضة	30	أحسن عدد فروض المراقبة	1	1
ثالثة رياضة	30	أحسن عدد فروض المراقبة	1	1
ثالثة رياضة	31	أعلى عدد ف م 	1	2
ثالثة رياضة	40	فرض تأليفي	1	2
ثالثة رياضة	40	فرض تأليفي	1	2
ثالثة رياضة	40	فرض تأليفي	1	2
ثالثة رياضيات	30	أحسن عدد فروض المراقبة	1	1
ثالثة رياضيات	30	أحسن عدد فروض المراقبة	1	1
ثالثة رياضيات	31	أعلى عدد ف م 	1	2
ثالثة رياضيات	40	فرض تأليفي	1	2
ثالثة رياضيات	40	فرض تأليفي	1	2
ثالثة رياضيات	40	فرض تأليفي	1	2
ثالثة علوم إعلامية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم إعلامية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم إعلامية	31	أعلى عدد ف م 	1	2
ثالثة علوم إعلامية	40	فرض تأليفي	1	2
ثالثة علوم إعلامية	40	فرض تأليفي	1	2
ثالثة علوم إعلامية	40	فرض تأليفي	1	2
ثالثة علوم تجريبية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم تجريبية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم تجريبية	31	أعلى عدد ف م 	1	2
ثالثة علوم تجريبية	40	فرض تأليفي	1	2
ثالثة علوم تجريبية	40	فرض تأليفي	1	2
ثالثة علوم تجريبية	40	فرض تأليفي	1	2
ثالثة علوم تقنية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم تقنية	30	أحسن عدد فروض المراقبة	1	1
ثالثة علوم تقنية	31	أعلى عدد ف م 	1	2
ثالثة علوم تقنية	40	فرض تأليفي	1	2
ثالثة علوم تقنية	40	فرض تأليفي	1	2
ثالثة علوم تقنية	40	فرض تأليفي	1	2
